n,type,time
100,naive,0.003362
100,better,0.002780
100,BLAS,0.000446
100,naive,0.003276
100,better,0.002825
100,BLAS,0.000406
100,naive,0.003326
100,better,0.002824
100,BLAS,0.000337
100,naive,0.003339
100,better,0.002835
100,BLAS,0.000338
100,naive,0.003413
100,better,0.002798
100,BLAS,0.000335
200,naive,0.026430
200,better,0.021755
200,BLAS,0.002546
200,naive,0.026740
200,better,0.022301
200,BLAS,0.002539
200,naive,0.026339
200,better,0.021440
200,BLAS,0.002520
200,naive,0.025824
200,better,0.021128
200,BLAS,0.002452
200,naive,0.025486
200,better,0.020694
200,BLAS,0.002375
300,naive,0.085619
300,better,0.070961
300,BLAS,0.008140
300,naive,0.084985
300,better,0.075477
300,BLAS,0.009011
300,naive,0.088716
300,better,0.072489
300,BLAS,0.008408
300,naive,0.089373
300,better,0.072820
300,BLAS,0.008480
300,naive,0.088721
300,better,0.072098
300,BLAS,0.008515
400,naive,0.204877
400,better,0.165356
400,BLAS,0.018465
400,naive,0.216627
400,better,0.184381
400,BLAS,0.022725
400,naive,0.219489
400,better,0.184598
400,BLAS,0.022668
400,naive,0.218508
400,better,0.176787
400,BLAS,0.021864
400,naive,0.215800
400,better,0.183937
400,BLAS,0.022706
500,naive,0.439752
500,better,0.321403
500,BLAS,0.036182
500,naive,0.399671
500,better,0.329011
500,BLAS,0.036380
500,naive,0.403680
500,better,0.336250
500,BLAS,0.039739
500,naive,0.396212
500,better,0.323696
500,BLAS,0.036009
500,naive,0.402440
500,better,0.326954
500,BLAS,0.036265
600,naive,0.685459
600,better,0.559494
600,BLAS,0.064010
600,naive,0.700368
600,better,0.602322
600,BLAS,0.082848
600,naive,0.716613
600,better,0.591771
600,BLAS,0.066792
600,naive,0.711078
600,better,0.562394
600,BLAS,0.063076
600,naive,0.695833
600,better,0.604284
600,BLAS,0.066471
700,naive,1.181809
700,better,0.922373
700,BLAS,0.109331
700,naive,1.106543
700,better,0.919079
700,BLAS,0.112125
700,naive,1.278618
700,better,0.889525
700,BLAS,0.099579
700,naive,1.136030
700,better,0.986835
700,BLAS,0.101417
700,naive,1.123149
700,better,0.929968
700,BLAS,0.139258
800,naive,1.801704
800,better,1.315729
800,BLAS,0.149546
800,naive,1.737223
800,better,1.382167
800,BLAS,0.153768
800,naive,1.708605
800,better,1.370144
800,BLAS,0.163893
800,naive,1.862564
800,better,1.407612
800,BLAS,0.162039
800,naive,1.831345
800,better,1.357767
800,BLAS,0.166140
900,naive,2.444272
900,better,1.950488
900,BLAS,0.230532
900,naive,2.611357
900,better,2.023791
900,BLAS,0.233475
900,naive,3.023566
900,better,2.016041
900,BLAS,0.238536
900,naive,2.941427
900,better,2.016761
900,BLAS,0.234970
900,naive,2.975159
900,better,2.009861
900,BLAS,0.236842
1000,naive,3.834579
1000,better,2.793324
1000,BLAS,0.329181
1000,naive,3.312268
1000,better,2.661845
1000,BLAS,0.292922
1000,naive,3.486263
1000,better,2.735351
1000,BLAS,0.294070
1000,naive,3.479661
1000,better,2.810215
1000,BLAS,0.318264
1000,naive,3.645369
1000,better,2.667692
1000,BLAS,0.301198
