Size,Type,Time_mean,Time_std
100,naive,0.0026665546,1.4113935535491263e-5
100,better,0.0006248555999999999,1.6391642605303455e-5
100,blas,0.0002546273999999999,2.6038301352046748e-5
200,naive,0.022320395,0.0002666335343069207
200,better,0.004641526200000001,0.00014550124636476488
200,blas,0.0018479166000000002,1.0050667405699991e-5
300,naive,0.07754606459999999,0.0029388542679852814
300,better,0.0158386072,0.0002206304814156472
300,blas,0.0063734784,9.219552776192552e-5
400,naive,0.18305403760000002,0.0007767828107561946
400,better,0.0371117596,0.0004961913092702245
400,blas,0.015200327200000002,6.314341489577544e-5
500,naive,0.3668399842,0.002018861117019129
500,better,0.074333673,0.002398722165011301
500,blas,0.030614215,0.0022113669010988424
600,naive,0.6240838773999999,0.0019194584852289082
600,better,0.1281291744,0.0028284111578064973
600,blas,0.052519613,0.0024142427997878545
700,naive,0.9790199873999998,0.013221903293510022
700,better,0.20105039119999998,0.0027165706037944617
700,blas,0.0800220078,0.0018285371440914726
800,naive,1.4625289171999998,0.02106708274957254
800,better,0.3004264528,0.00550622630040354
800,blas,0.121382171,0.0015187350496141526
900,naive,2.0837883714,0.025847875135659264
900,better,0.424156115,0.005402737933825129
900,blas,0.1684926742,0.005171587404088726
1000,naive,2.8133940366,0.03585939689370285
1000,better,0.5758577852,0.010856659926163529
1000,blas,0.23121417179999998,0.007393339735222141
